,Dataset,Model,Split,TN,FP,FN,TP,Accuracy,Precision,Recall,F1 Score
147,C,Logistic Regression,Test,18,7,8,12,0.6666666666666666,0.631578947368421,0.6,0.6153846153846154
148,C,Random Forrest,Test,18,7,8,12,0.6666666666666666,0.631578947368421,0.6,0.6153846153846154
149,C,Gradient Boost,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
150,C,KNN,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
151,C,Decision Tree,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
152,C,Bagging,Test,18,7,9,11,0.6444444444444445,0.6111111111111112,0.55,0.5789473684210527
153,C,Ada Boost,Test,18,7,8,12,0.6666666666666666,0.631578947368421,0.6,0.6153846153846154
154,C,Navie Bayes,Test,5,20,8,12,0.37777777777777777,0.375,0.6,0.46153846153846156
155,C,Extra Tree,Test,18,7,8,12,0.6666666666666666,0.631578947368421,0.6,0.6153846153846154
156,D1,Linear SVM,Test,15,10,4,16,0.6888888888888889,0.6153846153846154,0.8,0.6956521739130435
157,D1,Polynomial SVM,Test,10,15,1,19,0.6444444444444445,0.5588235294117647,0.95,0.7037037037037037
158,D1,RBF SVM,Test,12,13,2,18,0.6666666666666666,0.5806451612903226,0.9,0.7058823529411765
159,D1,Sigmoid SVM,Test,17,8,5,15,0.7111111111111111,0.6521739130434783,0.75,0.6976744186046512
160,D1,Logistic Regression,Test,15,10,3,17,0.7111111111111111,0.6296296296296297,0.85,0.723404255319149
161,D1,Random Forrest,Test,16,9,3,17,0.7333333333333333,0.6538461538461539,0.85,0.7391304347826086
162,D1,Gradient Boost,Test,20,5,4,16,0.8,0.7619047619047619,0.8,0.7804878048780488
163,D1,KNN,Test,16,9,4,16,0.7111111111111111,0.64,0.8,0.7111111111111111
164,D1,Decision Tree,Test,21,4,7,13,0.7555555555555555,0.7647058823529411,0.65,0.7027027027027027
165,D1,Bagging,Test,19,6,6,14,0.7333333333333333,0.7,0.7,0.7
166,D1,Ada Boost,Test,13,12,4,16,0.6444444444444445,0.5714285714285714,0.8,0.6666666666666666
167,D1,Navie Bayes,Test,13,12,2,18,0.6888888888888889,0.6,0.9,0.72
168,D1,Extra Tree,Test,21,4,3,17,0.8444444444444444,0.8095238095238095,0.85,0.8292682926829268
169,D2,Linear SVM,Test,16,9,9,11,0.6,0.55,0.55,0.55
170,D2,Polynomial SVM,Test,20,5,12,8,0.6222222222222222,0.6153846153846154,0.4,0.48484848484848486
171,D2,RBF SVM,Test,17,8,8,12,0.6444444444444445,0.6,0.6,0.6
172,D2,Sigmoid SVM,Test,17,8,6,14,0.6888888888888889,0.6363636363636364,0.7,0.6666666666666666
173,D2,Logistic Regression,Test,18,7,7,13,0.6888888888888889,0.65,0.65,0.65
174,D2,Random Forrest,Test,20,5,9,11,0.6888888888888889,0.6875,0.55,0.6111111111111112
175,D2,Gradient Boost,Test,18,7,5,15,0.7333333333333333,0.6818181818181818,0.75,0.7142857142857143
176,D2,KNN,Test,20,5,10,10,0.6666666666666666,0.6666666666666666,0.5,0.5714285714285714
177,D2,Decision Tree,Test,15,10,8,12,0.6,0.5454545454545454,0.6,0.5714285714285714
178,D2,Bagging,Test,17,8,11,9,0.5777777777777777,0.5294117647058824,0.45,0.4864864864864865
179,D2,Ada Boost,Test,13,12,5,15,0.6222222222222222,0.5555555555555556,0.75,0.6382978723404256
180,D2,Navie Bayes,Test,5,20,4,16,0.4666666666666667,0.4444444444444444,0.8,0.5714285714285714
181,D2,Extra Tree,Test,20,5,9,11,0.6888888888888889,0.6875,0.55,0.6111111111111112
